Sonic the Hedgehog 2;GEN;1992;Platform;Sega;4,47;1,20;0,16;0,19;6,03;;;;;;
Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;3,18;1,83;0,78;0,24;6,03;94,00;20,00;9,40;918;KCEJ;M
Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;2,63;1,71;0,83;0,82;5,99;94,00;82,00;8,70;3558;Kojima Productions;M
Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;1,88;0,00;2,33;1,74;5,95;92,00;64,00;7,60;972;Square Enix;T
The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2,41;2,18;0,28;0,99;5,87;95,00;98,00;9,10;8003;Naughty Dog;M
LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;2,80;1,98;0,17;0,87;5,82;95,00;85,00;6,80;5311;SCE/WWS, Media Molecule;E
Resident Evil 2;PS;1998;Action;Virgin Interactive;1,88;1,47;2,02;0,45;5,82;89,00;13,00;9,20;364;Capcom;M
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;0,63;0,67;4,35;0,15;5,78;87,00;65,00;8,80;197;Level 5;E10+
Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;2,26;1,89;1,36;0,23;5,74;89,00;8,00;8,90;102;Namco;T
Destiny;PS4;2014;Shooter;Activision;2,49;2,07;0,16;0,92;5,64;76,00;95,00;6,10;5380;Bungie Software, Bungie;T
LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;3,57;1,55;0,00;0,51;5,64;80,00;17,00;8,90;62;Traveller's Tales;E10+
Cooking Mama;DS;2006;Simulation;505 Games;3,07;1,91;0,07;0,57;5,63;67,00;35,00;7,20;21;Taito Corporation;E
Tetris;NES;1988;Puzzle;Nintendo;2,97;0,69;1,81;0,11;5,58;;;;;;
Super Smash Bros.;N64;1999;Fighting;Nintendo;2,95;0,60;1,97;0,04;5,55;;;;;;
Assassin's Creed II;PS3;2009;Action;Ubisoft;2,54;1,93;0,21;0,86;5,55;91,00;70,00;8,60;1202;Ubisoft Montreal;M
Assassin's Creed;X360;2007;Adventure;Ubisoft;3,28;1,64;0,07;0,56;5,54;81,00;77,00;7,70;1074;Ubisoft Montreal;M
Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;2,99;1,90;0,10;0,50;5,49;92,00;90,00;8,00;516;Turn 10;E
Super Mario Advance;GBA;2001;Platform;Nintendo;3,14;1,24;0,91;0,20;5,49;84,00;19,00;7,80;41;Nintendo;E
Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;0,47;0,55;4,13;0,34;5,48;81,00;48,00;8,70;124;Capcom;T
